0.0,238.0,
7.0,238.0,
14.0,238.0,
23.0,238.0,
33.0,243.0,
37.0,237.8,
42.0,237.8,
45.0,233.6,
55.0,238.6,
62.0,231.0,
67.0,226.2,
76.0,232.0,
83.0,227.8,
90.0,224.2,
97.0,226.4,
103.0,221.0,
111.0,220.8,
117.0,219.4,
125.0,219.0,
131.0,218.0,
139.0,216.0,
145.0,215.8,
153.0,215.0,
156.0,213.8,
160.0,217.4,
167.0,214.6,
173.0,214.6,
180.0,212.4,
187.0,212.2,
197.0,213.4,
201.0,209.0,
209.0,208.4,
216.0,214.0,
223.0,211.0,
230.0,206.6,
244.0,210.2,
251.0,207.6,
258.0,206.2,
265.0,205.2,
272.0,206.0,
279.0,200.6,
298.0,204.0,
308.0,203.4,
313.0,199.2,
329.0,205.0,
341.0,197.4,
468.0,206.6,
